,Site,Grainsize,Perm_Population,Por_Population,Perm_measure1,Perm_measure2,Perm_measure3,Perm_measure4,Perm_measure5,Por_measure1,Por_measure2,Por_measure3,Por_measure4
0,FD07,S,12.0,12.0,11.0,12.0,11.0,11.0,,11.0,11.0,12.0,13.0
1,FD01,S,5.0,15.0,5.0,5.0,5.0,5.0,,15.0,15.0,,
2,FD02,S,18.0,12.0,15.0,15.0,18.0,,,14.0,11.0,13.0,14.0
3,FD02,S,6.0,12.0,7.0,7.0,7.0,,,12.0,12.0,13.0,12.0
4,FD06,S,214.0,16.0,211.0,201.0,138.0,202.0,,17.0,16.0,15.0,18.0
5,FD05,S,16.0,13.0,15.0,15.0,16.0,18.0,,15.0,13.0,13.0,13.0
6,FD06,S,557.0,19.0,568.0,620.0,603.0,480.0,,19.0,20.0,16.0,18.0
7,FD06,S,39.0,17.0,32.0,41.0,43.0,,,17.0,18.0,15.0,14.0
8,FD03,S,183.0,21.0,159.0,181.0,179.0,,,18.0,21.0,,
9,FD06,S,11.0,15.0,12.0,12.0,11.0,,,13.0,15.0,16.0,13.0
10,FD01,S,192.0,16.0,175.0,199.0,,,,15.0,19.0,,
11,FD06,S,1.0,16.0,1.0,1.0,1.0,,,18.0,18.0,15.0,15.0
12,FD05,S,4.0,19.0,4.0,4.0,4.0,4.0,,18.0,21.0,19.0,22.0
13,FD05,S,,21.0,,,,,,20.0,23.0,24.0,
14,FD03,S,319.0,18.0,370.0,343.0,379.0,,,18.0,21.0,,
15,FD05,S,162.0,17.0,184.0,134.0,119.0,154.0,,15.0,17.0,18.0,
16,FD05,S,13.0,8.0,14.0,12.0,13.0,14.0,,8.0,7.0,8.0,
17,FD02,S,3.0,15.0,3.0,3.0,4.0,3.0,,18.0,19.0,15.0,17.0
18,FD03,S,130.0,17.0,123.0,125.0,,,,18.0,18.0,17.0,19.0
19,FD05,S,2.0,20.0,2.0,2.0,2.0,,,20.0,22.0,20.0,21.0
20,FD06,S,126.0,,121.0,136.0,123.0,,,,,,
