,Amostra,N,Measure,Err,Coef_Variac,Est_sig_pop
0,A,7,0.38285714285714284,0.05842024623422967,0.15259019538791332,0.15456544306692938
1,B,3,0.9133333333333334,0.008819171036881977,0.009656026682717492,0.01527525231651948
2,C,6,1.3233333333333333,0.04160662340434647,0.03144077335341043,0.10191499726078918
3,D,5,2.806,0.025612496949731417,0.00912776085165054,0.057271284253105466
4,E,5,1.5219999999999998,0.13979985693841035,0.09185273123417238,0.31260198335903117
5,F,3,3.1500000000000004,0.028867513459481315,0.009164289987136925,0.050000000000000044
6,G,6,0.9916666666666667,0.11411738595752084,0.11507635558741597,0.27952936637617637
7,H,8,0.49999999999999994,0.08654065931275144,0.1730813186255029,0.24477394819360518
8,I,6,2.405,0.0707931258433096,0.029435811161459297,0.17340703561274556
9,J,1,2.11,0.31260198335903117,,
10,L,1,3.4,0.31260198335903117,,
