Amostra,Profundidade,Idade,Two_sig
ALC23,1,2800,300
ALC23,3,6600,500
ALC23,4.5,56100,4900
ALC23,6,49300,4100
ALC24,1,1400,100
ALC38,3,4800,400
ALC26,5,63100,6200
ALC26,19,72300,8000
ALC28,6,86400,12000
ALC28,18,94500,10100
ALC28,23,93800,9200
ALC28,24,95100,9200
ALC33,10,61100,4600
ALC34,1.5,91800,8400
ALC34,8,76800,9600
ALC35,3.5,48800,7100
ALC35,9.5,58900,6000
ALC35,16,111800,13900
ALC36,9.4,74096,9834
ALC36,11.9,69932,7793
ALC36,14.1,82902,9363
ALC39,2,45190,5100
ALC39,4.3,61379,5500
ALC39,7.5,88419,7500
XC02,0.1,2503,462
XC02,2.93,3295,542
XC03,0.1,118,81
XC03,3.63,1251,211
XC05,0.45,3025,185
XC05,1.4,3219,133
XC05,2.39,3360,138
XC05,3.4,3718,147
XC05,4.4,4086,159
profile1,0.3,1100,100
profile1,0.8,2500,300
profile1,1.3,5000,200
profile1,1.8,13600,500
profile1,3.3,17200,900
profile1,4.3,19600,1100
profile1,5.3,17600,700
profile1,6.3,18000,800
profile1,7.25,21900,1000
profile1,7.8,23100,1300
profile1,8.2,27800,1700
profile1,8.7,51700,4300
PV4a,4.8,54000,7600
PV4a,6.3,84900,8300
PV4a,7.7,93500,12700
PV5,8.6,77500,7600
PV5,9.7,82100,5300
PV12a,5.6,65400,16900
PV12a,6.8,92900,20200
PV12a,7.7,118900,30700
PV50A,4.8,43000,4700
PV50A,8.7,83900,18300
PV52A,4.3,40200,3000
PV52A,4.9,46800,4400
PV53A,4.9,52200,9000
PV60A,4.3,36600,2700
PV60A,5.7,35900,5100
cl33,1,17500,2000
cl33,2.7,23900,2100
cl33,4.5,46900,3400
cl32,0.3,900,200
cl32,1.4,36600,1500
cl37,2.3,60300,2500
cl37,4.3,101600,2900
rbn55,1.4,2928,200
rbn55,3.4,22241,1659
rbn57,2.2,4676,371
rbn57,4.9,6292,410
rnb23,4,102054,9054
rnb23,4.8,104657,8660
pv11,6.5,126900,15500
pv11,7,101900,23600
pv11,8.3,122300,28400
rbn20,2.3,169500,17400
rbn20,2.9,175000,15000
rbn23,4.1,102100,9000
rbn23,4.8,104700,8700
pv4,4.8,54000,7600
pv4,6.2,84900,8300
pv4,7.4,93500,12700
pv12,5.5,65400,16900
pv12,7,92900,20000
pv12,7.5,118900,30700
pv43,2,142000,7600
pv43,8,198700,21300
pv43,10,197800,37300
pv43,13,346600,48600
pv9,6,40300,15000
pv9,7.2,72100,12900
pv9,9.7,79000,12700
pv9,12.3,148600,34800
pv7,7,69600,12600
pv7,8.5,99300,14500
pv63a,13,121400,12200
pv63a,16.5,148200,19100
pv62a1,7,102300,11600
pv62a2,12,115100,13000
pv62a2,14,92400,12100
pv61a1,8,97100,9900
pv61a1,17,219600,25100
pv34,12,99400,19600
pv34,13,108000,20400
pv24,9,151400,32500
pv24,11,337300,36900
sf145,3.1,13100,1100
sf145,3.3,17000,1500
sf145,3.7,15600,1300
sf145,4.5,14000,1700
