Identificação;CIDADE;UF;pH25º;Temp. (ºC);Cond (microS);TDS (cond) (mg/L);TDS (mg/L);HCO3-;CO3-2;SO4-2;Cl-;NO3-;F-;PO4-3;Br-;Ca+2;Mg+2;Na+;K+;Ba+2;Sr+2;SiO2
A;Paulista;PE;4.5;27;51.8;34.188;32.38048699;1.217968373;0;3.199548889;9.769043808;0.403052592;;;;1.00096959;0.481793553;5.999272758;0.699296924;;0.009540505;9.6
B;Parnamirim;RN;5.3;30;75;49.5;51.8109535;8.497253284;0;;11.45088146;12.45060451;;;;0.798534419;1.697844059;8.998032561;3.600247255;;;4.317555953
C;Itapemirim;ES;7.6;25;228;150.48;180.5837595;84.43252248;0;10.4075584;19.47808864;;0.280542986;;;17.14124249;4.667652887;19.37769976;3.198451858;;;21.6
D;Ibirá;SP;10;24;440;290.4;298.0549597;30.66389736;81.51223015;47.61207768;2.468882615;;0.561085973;;;0.818439841;;97.42995486;0.969310226;;0.01908101;36
E;Anápolis;GO;4.2;23.4;8.4;5.544;4.620252;0.630252;0;;0.17;;0.13;;;0.05;0.03;0.36;0.05;;;3.2
F;Porto Alegre;RS;5.66;22.8;295;194.7;166.165236;38.105236;0;0.6;11.93;57.05;0.23;;;11.44;4.46;20;3.75;;;18.6
G;Juazeiro do Norte;CE;5.2;30;148;97.68;118.9276284;19.07872376;0;20.30874339;25.79149486;0.021885882;;;;5.920440723;6.32025969;5.987717129;15.00013414;0.200066838;0.038162021;20.26
H;Araxá;MG;7.1;23;110;72.6;83.86796724;55.10396417;0;;;0.165934463;0.091566265;;;11.34759437;3.498248036;0.199770265;1.19600465;0.397120056;0.367764953;11.5
I;Caxambu;MG;5.05;24.8;124;81.84;147.7376203;94.08844802;0;0.423358308;;;0.294320138;;;15.77649365;2.491629655;6.786715867;10.87665469;;;17
J;Itabirito;MG;7.8;28;390;257.4;311.1793744;98.47543316;0;120.1383793;0.012132101;;0.067873303;;;60.12230227;12.75382166;0.700251708;1.499640431;;0.009540505;17.4
K;Passa Quatro;MG;6;20;44.1;29.106;53.41138063;29.50857367;0;2.307302777;1.571107118;0.299107059;0.076923077;0.111745613;;2.970098905;1.10960574;5.995456485;3.367106002;0.047912486;0.046441696;6
L;São Lourenço;MG;5.9;20;395;260.7;236.1742267;157.4493481;0;1.674226383;1.825881246;2.392856471;0.069371714;;;14.63314511;6.036388111;22.63392455;19.08917299;0.341290488;0.028621516;10
M;Campo Largo;PR;7.8;21;250;165;218.9744889;161.2867462;0;;0.309368583;0.700348235;;;;32.05757217;12.14420294;1.201896085;0.39834199;0.047654407;0.008358294;10.82
N;Petrópolis;RJ;6.1;17.8;35;23.1;42.7085375;21.35228304;0;;2.497075963;3.511656442;;;;2.479758865;3.800742552;0.590092402;0.576928236;;;7.9
O;Itaperuna;RJ;4.1;25;81.6;53.856;59.88654116;26.15646712;0;;0.855313142;;;;;5.008763879;0.599652204;2.661852672;1.448871354;0.021179736;0.008358294;23.12608275
P;Sto Amaro Imperatriz;SC;6.5;39.8;91;60.06;114.2920676;55.19097856;0;1.227490166;2.638732033;;0.43438914;;;6.37253319;3.05806013;7.800343891;4.600459449;;0.01908101;32.95
Q;Itajaí;SC;7;22;460;303.6;442.2498036;274.6186797;0;4.666811369;37.9980095;2.366187555;0.058823529;;0.659660023;55.00091787;29.0384211;13.40333082;;0.029421594;0.009540505;24.4
R;Itapecirica Serra;SP;5.8;19.2;38.2;25.212;39.620228;13.075228;0;1.73;2.77;3.64;;;;2.08;1.29;3.22;1.4;0.029;0.016;10.37
S;Campos do Jordão;SP;7.37;18.6;142;93.72;129.010428;98.609428;0;0.2;0.22;0.2;0.05;;;16.88;8.76;0.87;1.18;0.02;0.021;2
T;São Paulo;SP;5.02;23.2;100.5;66.33;68.206524;6.312524;0;;14.34;18.4;0.03;;0.06;2.04;1.35;12.08;2.52;0.177;0.037;10.86
U;Águas da Prata;SP;7.3;22;975;643.5;927.5816793;579.4300297;0;59.99263806;10.2516256;0.583623529;0.895927602;;;27.15427685;11.64919918;198.5105005;4.79572513;0.0941491;0.643984103;33.58
